List_148.fa	1	0.000000	0	0.000000	0
List_118.fa	2	0.838534	1	0.819126	1
List_149.fa	3	0.484344	2	0.473586	2
List_124.fa	3	0.995392	3	0.998004	3
List_043.fa	4	0.800154	2	0.836481	2
List_154.fa	5	0.913223	3	0.941968	3
List_065.fa	6	0.834295	2	0.867641	2
List_020.fa	7	0.869219	2	0.859170	2
List_125.fa	8	0.856982	6	0.861789	7
List_022.fa	9	0.971310	6	0.971440	6
List_081.fa	10	0.925553	5	0.933523	3
List_099.fa	9	0.997529	9	0.999474	9
List_160.fa	11	0.867707	6	0.871256	7
List_150.fa	4	0.992830	4	0.991803	4
List_143.fa	12	0.900602	1	0.901184	1
List_021.fa	9	0.988144	9	0.987254	9
List_057.fa	4	0.995123	4	0.994078	4
List_109.fa	13	0.874763	11	0.869154	11
List_122.fa	5	0.985740	5	0.997577	5
List_144.fa	14	0.979158	12	0.983887	12
List_011.fa	4	0.984377	4	0.981021	4
List_001.fa	15	0.878781	4	0.859929	4
List_140.fa	16	0.867765	11	0.855648	7
List_141.fa	10	0.997662	10	0.984336	10
List_031.fa	17	0.869657	9	0.872186	7
List_105.fa	10	0.997521	10	0.985497	10
List_138.fa	18	0.950998	11	0.986683	11
List_060.fa	4	0.987124	4	0.995943	4
List_054.fa	19	0.957579	10	0.993215	10
List_015.fa	20	0.988019	17	0.978231	17
List_095.fa	21	0.985217	5	0.971402	5
List_053.fa	19	0.999797	19	0.999945	19
List_016.fa	22	0.905742	15	0.945157	15
List_009.fa	23	0.991156	22	0.963587	22
List_087.fa	24	0.960767	16	0.984165	16
List_163.fa	25	0.979110	18	0.981132	11
List_142.fa	12	0.999554	12	0.999918	12
List_126.fa	3	0.995959	3	0.997506	3
List_137.fa	16	0.985568	16	0.998083	16
List_005.fa	3	0.981968	3	0.996986	3
List_030.fa	17	0.999154	17	0.999867	17
List_075.fa	10	0.999809	10	0.999967	10
List_034.fa	17	0.999768	17	0.999964	17
List_036.fa	26	0.982276	4	0.960515	4
List_077.fa	10	0.999913	10	0.985970	10
List_041.fa	6	0.989862	6	0.980496	6
List_003.fa	4	0.995307	4	0.994096	4
List_039.fa	6	0.991653	6	0.980427	6
List_092.fa	27	0.977494	19	0.987123	10
List_136.fa	28	0.922590	15	0.925563	15
List_070.fa	29	0.977918	18	0.985658	11
List_129.fa	30	0.892671	3	0.915097	3
List_047.fa	4	0.983849	4	0.982850	4
List_094.fa	11	0.980091	18	0.983955	11
List_165.fa	31	0.926998	19	0.936640	3
List_098.fa	9	0.994882	9	0.999320	9
List_100.fa	9	0.997578	9	0.999503	9
List_072.fa	4	0.982289	4	0.991264	4
List_146.fa	32	0.959203	1	0.976634	1
List_167.fa	31	0.999164	31	0.998908	31
List_108.fa	11	0.996076	11	0.996504	11
List_017.fa	33	0.956668	6	0.974570	6
List_037.fa	34	0.991495	22	0.972942	23
List_086.fa	29	0.999329	29	0.986483	29
List_008.fa	23	0.999582	23	0.999605	23
